Business Date,Revenue Center,Meal Period,Net Sales,Gross Sales,Discounts,Voids,Comps,Tax,Tips,Check Count,Guest Count,Avg Check
2026-02-14,Bar,Dinner,4422.51,4737.22,110.82,33.80,170.09,309.58,803.12,106,166,41.72
2026-02-14,Bar,Late Night,2678.01,2799.19,43.49,33.06,44.63,187.46,497.64,65,127,41.20
2026-02-14,Dining Room,Lunch,944.83,1011.27,25.51,15.07,25.86,66.14,173.75,21,30,44.99
2026-02-14,Dining Room,Dinner,2384.98,2573.17,91.40,22.36,74.43,166.95,507.83,60,97,39.75
2026-02-14,Dining Room,Late Night,2120.24,2222.53,34.46,22.28,45.55,148.42,404.88,48,84,44.17
2026-02-15,Bar,Lunch,2268.42,2398.50,62.31,17.19,50.58,158.79,492.89,58,115,39.11
2026-02-15,Bar,Dinner,4851.07,5190.50,142.59,52.12,144.72,339.57,898.08,113,162,42.93
2026-02-15,Bar,Late Night,2975.14,3121.93,53.82,25.18,67.79,208.26,589.69,70,93,42.50
2026-02-15,Dining Room,Lunch,1114.77,1188.83,34.86,9.12,30.08,78.03,208.37,26,35,42.88
2026-02-15,Dining Room,Dinner,3402.21,3607.32,67.00,57.97,80.14,238.15,757.76,76,150,44.77
2026-02-15,Dining Room,Late Night,1926.74,2033.81,32.80,20.42,53.85,134.87,364.54,48,72,40.14
2026-02-16,Bar,Lunch,875.85,945.37,32.86,20.67,15.99,61.31,190.11,16,22,54.74
2026-02-16,Bar,Dinner,2237.39,2343.52,52.34,13.36,40.43,156.62,437.61,44,64,50.85
2026-02-16,Dining Room,Lunch,454.49,486.61,12.30,8.42,11.40,31.81,95.18,10,17,45.45
2026-02-16,Dining Room,Dinner,1042.08,1085.10,20.77,10.73,11.52,72.95,208.60,19,32,54.85
2026-02-17,Bar,Lunch,523.90,564.24,19.10,7.61,13.63,36.67,105.40,11,16,47.63
2026-02-17,Bar,Dinner,1357.45,1432.79,22.89,16.70,35.75,95.02,275.32,27,41,50.28
2026-02-17,Dining Room,Lunch,344.54,362.26,8.14,4.13,5.45,24.12,76.23,7,11,49.22
2026-02-17,Dining Room,Dinner,698.78,743.97,19.07,9.78,16.34,48.91,150.46,13,19,53.75
2026-02-18,Bar,Lunch,559.02,587.84,12.65,6.33,9.84,39.13,128.53,14,23,39.93
2026-02-18,Bar,Dinner,1384.09,1493.70,38.90,20.96,49.75,96.89,308.40,34,61,40.71
2026-02-18,Dining Room,Lunch,321.66,345.82,9.22,2.65,12.29,22.52,73.71,7,14,45.95
2026-02-18,Dining Room,Dinner,832.68,894.24,29.91,14.15,17.50,58.29,172.97,17,24,48.98
2026-02-19,Bar,Lunch,703.92,739.30,13.64,4.36,17.38,49.27,139.74,17,29,41.41
2026-02-19,Bar,Dinner,1974.50,2086.57,37.78,12.18,62.11,138.22,355.92,53,97,37.25
2026-02-19,Bar,Late Night,1168.65,1241.86,22.93,19.15,31.13,81.81,222.64,30,59,38.96
2026-02-19,Dining Room,Lunch,428.44,459.51,9.94,5.24,15.89,29.99,89.92,8,12,53.56
2026-02-19,Dining Room,Dinner,1038.24,1082.44,21.07,5.23,17.90,72.68,210.54,21,42,49.44
2026-02-19,Dining Room,Late Night,742.42,796.80,17.06,14.82,22.50,51.97,162.74,16,30,46.40
